Year,Central London,East London,West London,South London,North London
_1996,1635,2555,1535,2865,1785
_2001,1470,2265,1555,2970,1850
_2006,1395,2155,1555,2720,1665
_2011,1230,1715,2935,2445,1550
_2016,1075,1635,3385,2170,1585
