Year,Central London,East London,West London,South London,North London
_1996,2160,1965,2130,2320,1815
_2001,2435,2245,2570,3000,2150
_2006,2975,2675,3330,3640,2180
_2011,3315,3075,4080,3715,2170
_2016,3170,3155,4255,3795,2015
