Year,Central London,East London,West London,South London,North London
_1996,6735,4960,5525,7075,3360
_2001,6425,4505,5600,6420,3300
_2006,6200,4315,6455,6020,2950
_2011,5975,3585,8460,5605,2805
_2016,5620,4225,9640,5350,3060
