City,1996,2001,2006,2011,2016
Central London,1635,1470,1395,1230,1075
East London,2555,2265,2155,1715,1635
West London,1535,1555,1555,2935,3385
South London,2865,2970,2720,2445,2170
North London,1785,1850,1665,1550,1585
