City,_1996,_2001,_2006,_2011,_2016
Central London,6735,6425,6200,5975,5620
East London,4960,4505,4315,3585,4225
West London,5525,5600,6455,8460,9640
South London,7075,6420,6020,5605,5350
North London,3360,3300,2950,2805,3060
