City,_1996,_2001,_2006,_2011,_2016
Central London,2160,2435,2975,3315,3170
East London,1965,2245,2675,3075,3155
West London,2130,2570,3330,4080,4255
South London,2320,3000,3640,3715,3795
North London,1815,2150,2180,2170,2015
